,Unnamed: 0,model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,test_accuracy,test_precision,test_recall,test_loss,best_val_accuracy,best_val_loss,params,source
0,0,1,1,[32],[5],[2],64,20,32,26.73758053779602,0.9583333134651184,0.9583333134651184,0.9583333134651184,0.1029160842299461,0.9791666865348816,0.0762440934777259,1020355,Savgol
1,1,2,1,[64],[7],[4],128,20,64,30.41437029838562,0.9700000286102296,0.9700000286102296,0.9700000286102296,0.0794258862733841,0.9770833253860474,0.0839561596512794,2032643,Savgol
2,2,3,2,"[32, 64]","[5, 3]","[2, 2]",64,25,32,40.13739919662476,0.9766666889190674,0.9766666889190674,0.9766666889190674,0.0745265483856201,0.981249988079071,0.0784353464841842,1022467,Savgol
3,3,4,2,"[64, 128]","[5, 3]","[2, 2]",128,25,32,115.23352265357973,0.9816666841506958,0.9816666841506958,0.9816666841506958,0.06149572879076,0.981249988079071,0.0686975717544555,4088835,Savgol
4,4,5,2,"[32, 64]","[7, 5]","[2, 2]",64,25,64,33.76187777519226,0.971666693687439,0.971666693687439,0.971666693687439,0.0924263074994087,0.9791666865348816,0.0711430013179779,1018435,Savgol
5,5,6,2,"[32, 64]","[9, 7]","[2, 2]",64,25,64,35.43609166145325,0.9816666841506958,0.9816666841506958,0.9816666841506958,0.0600559823215007,0.9791666865348816,0.0762721747159957,1018499,Savgol
6,6,7,3,"[32, 64, 128]","[7, 5, 3]","[2, 2, 2]",128,30,32,82.18427467346191,0.9833333492279052,0.9833333492279052,0.9833333492279052,0.0552179962396621,0.9791666865348816,0.0719562098383903,2034627,Savgol
7,7,8,3,"[64, 128, 256]","[7, 5, 3]","[2, 2, 2]",256,30,64,190.0358111858368,0.9666666388511658,0.9666110277175904,0.9649999737739564,0.0921979397535324,0.9791666865348816,0.0764127224683761,8136579,Savgol
8,8,9,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,33.05644917488098,0.9866666793823242,0.9866666793823242,0.9866666793823242,0.052249077707529,0.9770833253860474,0.066076636314392,510915,Savgol
9,9,10,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,64,31.182733297348022,0.9850000143051147,0.9850000143051147,0.9850000143051147,0.0753489658236503,0.9770833253860474,0.0817484930157661,515075,Savgol
10,10,11,3,"[32, 64, 128]","[11, 9, 7]","[2, 2, 2]",128,35,32,111.09828305244446,0.9700000286102296,0.9700000286102296,0.9700000286102296,0.0918049439787864,0.9791666865348816,0.0744286254048347,2010179,Savgol
11,11,12,3,"[64, 128, 256]","[11, 9, 7]","[2, 2, 2]",256,35,64,302.4819338321686,0.9800000190734864,0.9800000190734864,0.9800000190734864,0.0647220313549041,0.9791666865348816,0.0838944911956787,8038531,Savgol
12,12,13,4,"[32, 64, 128, 256]","[7, 5, 3, 3]","[2, 2, 2, 2]",256,40,32,186.6977183818817,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.1265060901641845,0.981249988079071,0.0720463618636131,4067011,Savgol
13,13,14,4,"[32, 64, 128, 256]","[9, 7, 5, 3]","[4, 2, 2, 2]",256,40,64,79.41121745109558,0.9766666889190674,0.9766666889190674,0.9766666889190674,0.0620002038776874,0.981249988079071,0.0781172141432762,1990403,Savgol
14,14,15,5,"[32, 64, 128, 256, 512]","[7, 5, 5, 3, 3]","[2, 2, 2, 2, 2]",512,45,32,369.10562443733215,0.9800000190734864,0.9800000190734864,0.9800000190734864,0.0625250712037086,0.9791666865348816,0.0802759453654289,7886019,Savgol
15,15,16,5,"[32, 64, 128, 256, 512]","[9, 7, 5, 3, 3]","[4, 2, 2, 2, 2]",512,45,64,147.9961977005005,0.9700000286102296,0.9700000286102296,0.9700000286102296,0.0828490406274795,0.9770833253860474,0.0840256512165069,3958019,Savgol
16,16,17,3,"[64, 64, 64]","[5, 5, 5]","[2, 2, 2]",128,30,32,74.99980878829956,0.9583333134651184,0.9583333134651184,0.9583333134651184,0.0961245819926261,0.981249988079071,0.076428972184658,1033219,Savgol
17,17,18,4,"[128, 128, 128, 128]","[3, 3, 3, 3]","[2, 2, 2, 2]",256,35,64,182.09573245048523,0.9833333492279052,0.9833333492279052,0.9833333492279052,0.0476025864481925,0.981249988079071,0.0680492222309112,2115459,Savgol
18,18,19,3,"[32, 128, 512]","[11, 7, 3]","[4, 4, 2]",512,40,32,264.0007336139679,0.9549999833106996,0.9549999833106996,0.9549999833106996,0.1263807415962219,0.9791666865348816,0.0763127356767654,7830531,Savgol
19,19,20,4,"[32, 64, 256, 512]","[13, 9, 5, 3]","[4, 4, 2, 2]",512,45,64,125.2325611114502,0.9733333587646484,0.9733333587646484,0.9733333587646484,0.0936507135629654,0.9833333492279052,0.0671676248311996,3642627,Savgol
20,20,21,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,32.64298248291016,0.9800000190734864,0.9800000190734864,0.9800000190734864,0.0681971833109855,0.981249988079071,0.0822127535939216,510915,Savgol
21,21,22,3,"[64, 128, 256]","[7, 5, 3]","[4, 4, 2]",128,30,32,71.26103138923645,0.971666693687439,0.971666693687439,0.971666693687439,0.0730763599276542,0.9770833253860474,0.0734656751155853,1090947,Savgol
22,22,23,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,32,33.98386764526367,0.9866666793823242,0.9866666793823242,0.9866666793823242,0.0693422704935073,0.9770833253860474,0.078076995909214,515075,Savgol
23,23,24,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 4]",128,30,32,27.85327363014221,0.9633333086967468,0.9633333086967468,0.9633333086967468,0.0887871012091636,0.9791666865348816,0.0782212316989898,265155,Savgol
24,24,25,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",256,30,32,42.28406715393066,0.9800000190734864,0.9800000190734864,0.9800000190734864,0.0561754368245601,0.981249988079071,0.0780614465475082,986563,Savgol
25,25,26,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,64,27.42815661430359,0.971666693687439,0.971666693687439,0.971666693687439,0.075658194720745,0.981249988079071,0.0636539757251739,510915,Savgol
26,26,27,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,40,32,43.21455264091492,0.9800000190734864,0.9800000190734864,0.9800000190734864,0.0523647554218769,0.9791666865348816,0.0794967785477638,510915,Savgol
27,27,28,3,"[64, 128, 256]","[9, 7, 5]","[4, 4, 2]",128,30,32,81.63612842559814,0.9783333539962769,0.9783333539962769,0.9783333539962769,0.0818520560860633,0.981249988079071,0.0814598649740219,1140227,Savgol
28,28,29,3,"[32, 64, 128]","[5, 3, 3]","[4, 4, 2]",128,30,32,31.189778566360477,0.9766666889190674,0.9766666889190674,0.9766666889190674,0.0606323555111885,0.9791666865348816,0.0772916302084922,506755,Savgol
29,29,30,3,"[32, 64, 128]","[7, 5, 3]","[4, 3, 2]",128,30,32,37.76318502426148,0.9733333587646484,0.9733333587646484,0.9733333587646484,0.0648619085550308,0.9791666865348816,0.0777329578995704,674755,Savgol
30,0,1,1,[32],[5],[2],64,20,32,26.904590368270878,0.971666693687439,0.971666693687439,0.971666693687439,0.0826823711395263,0.9791666865348816,0.0841017141938209,1020355,Linear
31,1,2,1,[64],[7],[4],128,20,64,31.659802675247192,0.971666693687439,0.971666693687439,0.971666693687439,0.0702571496367454,0.9791666865348816,0.0804314985871315,2032643,Linear
32,2,3,2,"[32, 64]","[5, 3]","[2, 2]",64,25,32,42.08685803413391,0.9783333539962769,0.9783333539962769,0.9783333539962769,0.0604896359145641,0.9833333492279052,0.0695732086896896,1022467,Linear
33,3,4,2,"[64, 128]","[5, 3]","[2, 2]",128,25,32,125.0701231956482,0.9633333086967468,0.9633333086967468,0.9633333086967468,0.0839893594384193,0.981249988079071,0.0796065255999565,4088835,Linear
34,4,5,2,"[32, 64]","[7, 5]","[2, 2]",64,25,64,36.96625018119812,0.959999978542328,0.9632107019424438,0.959999978542328,0.1106632202863693,0.981249988079071,0.0763908773660659,1018435,Linear
35,5,6,2,"[32, 64]","[9, 7]","[2, 2]",64,25,64,39.43518495559693,0.975000023841858,0.975000023841858,0.975000023841858,0.0782048478722572,0.9791666865348816,0.0856530964374542,1018499,Linear
36,6,7,3,"[32, 64, 128]","[7, 5, 3]","[2, 2, 2]",128,30,32,91.3273379802704,0.9733333587646484,0.9733333587646484,0.9733333587646484,0.0793606266379356,0.981249988079071,0.06927140802145,2034627,Linear
37,7,8,3,"[64, 128, 256]","[7, 5, 3]","[2, 2, 2]",256,30,64,207.69526410102844,0.9816666841506958,0.9816666841506958,0.9816666841506958,0.0615500696003437,0.9791666865348816,0.0776959434151649,8136579,Linear
38,8,9,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,37.675662994384766,0.9833333492279052,0.9833333492279052,0.9833333492279052,0.0603226199746131,0.9791666865348816,0.0725719630718231,510915,Linear
39,9,10,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,64,33.085047483444214,0.971666693687439,0.971666693687439,0.971666693687439,0.0776093825697898,0.981249988079071,0.0776716470718383,515075,Linear
40,10,11,3,"[32, 64, 128]","[11, 9, 7]","[2, 2, 2]",128,35,32,122.36652779579164,0.9833333492279052,0.9833333492279052,0.9833333492279052,0.0545858144760131,0.9791666865348816,0.0787644237279892,2010179,Linear
41,11,12,3,"[64, 128, 256]","[11, 9, 7]","[2, 2, 2]",256,35,64,322.4330277442932,0.9783333539962769,0.9783333539962769,0.9783333539962769,0.0659014880657196,0.9791666865348816,0.0752834603190422,8038531,Linear
42,12,13,4,"[32, 64, 128, 256]","[7, 5, 3, 3]","[2, 2, 2, 2]",256,40,32,185.9783227443695,0.9816666841506958,0.9816666841506958,0.9816666841506958,0.0511138588190078,0.981249988079071,0.0760561600327491,4067011,Linear
43,13,14,4,"[32, 64, 128, 256]","[9, 7, 5, 3]","[4, 2, 2, 2]",256,40,64,78.64700698852539,0.9850000143051147,0.9850000143051147,0.9850000143051147,0.0499020181596279,0.981249988079071,0.0688555389642715,1990403,Linear
44,14,15,5,"[32, 64, 128, 256, 512]","[7, 5, 5, 3, 3]","[2, 2, 2, 2, 2]",512,45,32,371.9122641086578,0.9833333492279052,0.9833333492279052,0.9833333492279052,0.0493145026266574,0.981249988079071,0.0599582381546497,7886019,Linear
45,15,16,5,"[32, 64, 128, 256, 512]","[9, 7, 5, 3, 3]","[4, 2, 2, 2, 2]",512,45,64,148.27209973335266,0.9766666889190674,0.9766666889190674,0.9766666889190674,0.0580286011099815,0.9791666865348816,0.0765421092510223,3958019,Linear
46,16,17,3,"[64, 64, 64]","[5, 5, 5]","[2, 2, 2]",128,30,32,72.87791180610657,0.975000023841858,0.975000023841858,0.975000023841858,0.0804558396339416,0.981249988079071,0.068213902413845,1033219,Linear
47,17,18,4,"[128, 128, 128, 128]","[3, 3, 3, 3]","[2, 2, 2, 2]",256,35,64,183.43352103233337,0.9733333587646484,0.9733333587646484,0.9733333587646484,0.0665565058588981,0.9791666865348816,0.0688484534621238,2115459,Linear
48,18,19,3,"[32, 128, 512]","[11, 7, 3]","[4, 4, 2]",512,40,32,268.80710673332214,0.9816666841506958,0.9816666841506958,0.9816666841506958,0.0631242394447326,0.9791666865348816,0.075560949742794,7830531,Linear
49,19,20,4,"[32, 64, 256, 512]","[13, 9, 5, 3]","[4, 4, 2, 2]",512,45,64,126.44489169120789,0.9683333039283752,0.9683333039283752,0.9683333039283752,0.0873841494321823,0.981249988079071,0.0758686438202858,3642627,Linear
50,20,21,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,33.19116544723511,0.9766666889190674,0.9766666889190674,0.9766666889190674,0.0737234279513359,0.9791666865348816,0.0781857743859291,510915,Linear
51,21,22,3,"[64, 128, 256]","[7, 5, 3]","[4, 4, 2]",128,30,32,72.11051607131958,0.9866666793823242,0.9866666793823242,0.9866666793823242,0.0649249404668808,0.9791666865348816,0.0658744871616363,1090947,Linear
52,22,23,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,32,34.71510672569275,0.9766666889190674,0.9766666889190674,0.9766666889190674,0.0668846145272255,0.9791666865348816,0.0779766291379928,515075,Linear
53,23,24,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 4]",128,30,32,28.25150418281555,0.9733333587646484,0.9733333587646484,0.9733333587646484,0.0756673738360405,0.9791666865348816,0.0755728706717491,265155,Linear
54,24,25,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",256,30,32,43.60420751571655,0.949999988079071,0.949999988079071,0.949999988079071,0.1202783435583114,0.9791666865348816,0.0783101543784141,986563,Linear
55,25,26,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,64,27.96829104423523,0.9850000143051147,0.9850000143051147,0.9850000143051147,0.0593883022665977,0.9791666865348816,0.0723723322153091,510915,Linear
56,26,27,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,40,32,44.33717918395996,0.9816666841506958,0.9816666841506958,0.9816666841506958,0.0564052760601043,0.981249988079071,0.0692934319376945,510915,Linear
57,27,28,3,"[64, 128, 256]","[9, 7, 5]","[4, 4, 2]",128,30,32,81.72657704353333,0.9683333039283752,0.9683333039283752,0.9683333039283752,0.0851957872509956,0.9791666865348816,0.0794914588332176,1140227,Linear
58,28,29,3,"[32, 64, 128]","[5, 3, 3]","[4, 4, 2]",128,30,32,32.31394028663635,0.9866666793823242,0.9866666793823242,0.9866666793823242,0.1037578657269477,0.981249988079071,0.0777039974927902,506755,Linear
59,29,30,3,"[32, 64, 128]","[7, 5, 3]","[4, 3, 2]",128,30,32,37.374778747558594,0.9783333539962769,0.9783333539962769,0.9783333539962769,0.0622276440262794,0.9833333492279052,0.0745382085442543,674755,Linear
